p_val,avg_log2FC,pct.1,pct.2,p_val_adj,expression
2.23086704393059e-08,-0.194378278186849,0.635,0.691,0.000479391019070245,Unchanged
2.4684168194303e-08,-0.461584612846568,0.887,0.966,0.000530438090327378,Unchanged
2.50826848403819e-08,-0.248859515801609,0.739,0.878,0.000539001814534966,Unchanged
2.60886286168273e-08,0.0320751441076095,0.4,0.343,0.000560618540347002,Unchanged
2.64917979775789e-08,-0.0802901823266899,0.478,0.501,0.000569282246740194,Unchanged
2.6798829987486e-08,-0.0445640646289143,0.383,0.39,0.000575880057601086,Unchanged
2.69324000986013e-08,0.0266963823011653,0.348,0.325,0.000578750345718844,Unchanged
2.76091517635461e-08,-0.145823166830078,0.713,0.549,0.000593293062246842,Unchanged
3.06621648596454e-08,0.126408521516894,0.33,0.25,0.000658899260668921,Unchanged
3.19050775096397e-08,-0.381946415438958,0.983,0.999,0.000685608210604647,Unchanged
3.76035782972342e-08,0.0129610537214147,0.661,0.705,0.000808063294029266,Unchanged
3.89505627801909e-08,-0.0401158889797317,0.87,0.824,0.000837008643583522,Unchanged
4.041927965535e-08,-0.172951831752482,0.765,0.749,0.000868569900513817,Unchanged
4.40189385538406e-08,-0.630646032225815,1,1,0.00094592297058348,Unchanged
4.44633499810377e-08,-0.0697929495735123,0.391,0.403,0.000955472927742518,Unchanged
4.53138832267485e-08,0.0671094240080177,0.304,0.276,0.000973750036659598,Unchanged
4.76922631120182e-08,0.000147510431315889,0.409,0.416,0.00102485904201416,Unchanged
5.65421307158571e-08,-0.0743304032243264,0.557,0.553,0.00121503384695305,Unchanged
5.66463269905701e-08,-1.61694400693977,0.461,0.716,0.00121727292070036,Down-regulated
5.78104800255944e-08,-0.332052071508342,0.791,0.784,0.00124228940527,Unchanged
5.90498265891058e-08,0.0541165330425661,0.757,0.838,0.0012689217235733,Unchanged
7.07998241024034e-08,-0.00629583246652821,0.426,0.413,0.00152141742013655,Unchanged
7.1913464685153e-08,-0.287734530710402,0.696,0.678,0.00154534844261925,Unchanged
